,Glon,Glat,3_6mag,e_3_6mag,4_5mag,e_4_5mag,size,sources_cluster,tile,color_bin,sources_20_arcmin,sources_tile,significance
0,284.25234650000004,-1.1339915,13.645285714285714,0.11092857142857142,12.789714285714284,0.11914285714285712,0.05338726743796302,14,split_284_285\0_0.csv,0.6-4.0,81,46805,0.6838632752850983
1,284.13872000000003,-1.0476085,14.32936111111111,0.12041666666666669,13.453722222222222,0.10013888888888892,0.11310944515492376,36,split_284_285\0_0.csv,0.6-4.0,86,46805,0.8300085528862617
2,284.448036,-0.3545695,13.612250000000001,0.05591666666666667,12.709208333333331,0.066875,0.07516500110588195,24,split_284_285\0_0.csv,0.6-4.0,81,46805,0.8326730571369572
3,284.3499375,-0.421797,13.35203125,0.0718125,12.426781250000001,0.078625,0.048227462656156544,32,split_284_285\0_0.csv,0.6-4.0,198,46805,1.7303521773272683
4,284.26483399999995,-0.31996800000000003,12.778833333333331,0.06641666666666667,12.072305555555557,0.08427777777777778,0.03463977691902317,36,split_284_285\0_0.csv,0.6-4.0,174,46805,2.710231278633006
5,284.22614,-0.362889,13.33137037037037,0.060222222222222226,12.499259259259258,0.07866666666666668,0.029196356073979725,27,split_284_285\0_0.csv,0.6-4.0,189,46805,2.411648734167085
6,284.2393785,-0.476054,14.086361111111112,0.06497222222222224,13.255944444444445,0.07938888888888888,0.06392659080734676,36,split_284_285\0_0.csv,0.6-4.0,199,46805,1.4685877301627803
7,284.348365,-0.823572,14.115210526315787,0.0724736842105263,13.186263157894736,0.09152631578947369,0.06768417960646034,19,split_284_285\0_0.csv,0.6-4.0,88,46805,0.7320577970019871
8,284.029304,-0.8958,13.558972972972974,0.05983783783783784,12.559702702702701,0.05937837837837838,0.03204648456537564,37,split_284_285\0_0.csv,0.6-4.0,190,46805,3.0109272879262
9,283.893082,-0.905275,13.793294117647058,0.07147058823529412,13.116294117647058,0.08594117647058823,0.03917862503969999,17,split_284_285\0_0.csv,0.6-4.0,169,46805,1.1315628210865243
10,284.0591475,-0.761772,13.696777777777779,0.06438888888888888,12.821333333333333,0.07600000000000001,0.03177828088882757,18,split_284_285\0_0.csv,0.6-4.0,154,46805,1.477137910940498
11,283.90510500000005,-1.054781,14.0605,0.103,13.300388888888888,0.08172222222222221,0.022339631711377567,18,split_284_285\0_0.csv,0.6-4.0,92,46805,2.101238912613592
12,284.180122,-0.616117,14.355923076923078,0.06546153846153846,13.475384615384614,0.105,0.05624763803929401,13,split_284_285\0_0.csv,0.6-4.0,84,46805,0.6027233281471196
13,284.0517615,-0.431249,14.556149999999999,0.07150000000000001,13.800749999999999,0.1255,0.06907133344051046,20,split_284_285\0_0.csv,0.6-4.0,68,46805,0.7551115171202317
14,284.264427,-0.279575,13.386064516129032,0.07338709677419356,12.599387096774194,0.10190322580645163,0.0972399690713622,31,split_284_285\0_1.csv,0.6-4.0,43,43447,0.8629031382972684
15,283.968747,-0.146532,14.268785714285714,0.06742857142857142,13.294499999999998,0.08628571428571427,0.07114954957693743,42,split_284_285\0_1.csv,0.6-4.0,90,43447,1.5977995776313916
16,284.41360299999997,0.00995,13.740708333333336,0.058666666666666666,12.830708333333334,0.06954166666666667,0.06446740649350627,24,split_284_285\0_1.csv,0.6-4.0,65,43447,1.0076650817707218
